groupe,equipe,pot,hote,elo,fifa_rank,forme_note
A,Mexique,1,oui,1804,14,Vainqueur Gold Cup 2025 (2-1 vs USA); nation hôte; amicaux 2026 mitigés
A,Corée du Sud,3,non,1746,23,Premier de son groupe qualif AFC invaincu; emmenée par Son Heung-min
A,Afrique du Sud,4,non,1556,56,Retour après 16 ans; quart de finaliste CAN 2025; 1er groupe CAF C
A,Tchéquie,2,non,1709,40,Qualifiée via barrages UEFA; forme irrégulière 2025-26
B,Canada,1,oui,1739,26,Co-hôte; demi-finaliste Gold Cup 2025; solide sous Jesse Marsch
B,Suisse,2,non,1835,19,Invaincue en qualif; valeur sûre en tournoi
B,Qatar,4,non,1571,53,Qualifié via barrage AFC; 2x champion d'Asie; pedigree à domicile
B,Bosnie-Herzégovine,3,non,1633,44,Bonne campagne qualif menée par Dzeko; barragiste
C,Brésil,1,non,1991,6,Sous Ancelotti; fin de qualif CONMEBOL solide; amicaux mitigés
C,Maroc,2,non,1887,12,Hôte/finaliste CAN 2025; qualif solide; profondeur offensive
C,Écosse,3,non,1737,33,Qualifiée via barrage UEFA; compétitive mais irrégulière
C,Haïti,4,non,1571,82,Qualifié surprise CONCACAF; 1ère CDM depuis 1974; faible classement
D,États-Unis,1,oui,1797,16,Co-hôte; finaliste battu Gold Cup 2025; forme mitigée sous Pochettino
D,Australie,3,non,1714,26,Qualifiée AFC; solide défensivement; Socceroos réguliers
D,Paraguay,4,non,1762,39,Qualifié CONMEBOL sous Alfaro; défense solide; fin de disette
D,Turquie,2,non,1801,27,Qualifiée via barrage UEFA; jeune noyau talentueux (Güler et Aktürkoglu)
E,Allemagne,1,non,1934,10,3e Ligue des Nations 2025; 1er de son groupe qualif; redressement sous Nagelsmann
E,Équateur,2,non,1833,23,Qualif CONMEBOL solide (2e/3e); défense hermétique
E,Côte d'Ivoire,3,non,1771,40,Tenante CAN; forme en baisse mais profondeur d'effectif
E,Curaçao,4,non,1497,82,Plus petite nation à se qualifier; 1ère CDM; vainqueur groupe Concacaf
F,Pays-Bas,1,non,1976,7,1er de son groupe qualif; attaque forte sous Koeman; demi-finaliste Euro 2024
F,Japon,2,non,1924,18,1er qualifié pour la CDM 2026; campagne AFC dominante; a battu le Brésil en 2025
F,Tunisie,3,non,1671,41,Qualifiée tôt CAF; organisation défensive; sortie en 8e CAN 2025
F,Suède,4,non,1761,36,Qualifiée via barrage UEFA; attaque Isak/Gyökeres
G,Belgique,1,non,1849,9,Génération en transition; qualif solide; talent offensif maintenu
G,Iran,2,non,1790,20,Qualifié tôt AFC; bloc défensif solide; pedigree asiatique
G,Égypte,3,non,1660,33,Mené par Salah; qualif CAF maîtrisée; ambitions de phase finale
G,Nouvelle-Zélande,4,non,1500,85,Vainqueur OFC; faible adversité en qualif; débutant régulier
H,Espagne,1,non,2171,2,Championne d'Europe 2024; n°1 Elo; effectif exceptionnel
H,Uruguay,2,non,1895,17,Sous Bielsa; demi-finaliste Copa América 2024; génération talentueuse
H,Arabie saoudite,3,non,1630,58,Qualifiée AFC; capable d'exploits (cf 2022); irrégulière
H,Cap-Vert,4,non,1580,70,Débutant historique; vainqueur de groupe CAF surprise
I,France,1,non,2063,3,Finaliste Ligue des Nations; effectif ultra-profond (Mbappé); favori
I,Sénégal,2,non,1869,14,Champion d'Afrique 2021; génération solide; qualif CAF maîtrisée
I,Norvège,3,non,1840,30,Haaland + Ødegaard; qualif en forte progression; 1ère CDM depuis 1998
I,Irak,4,non,1600,58,Qualifié via barrages AFC; surprise; bloc combatif
J,Argentine,1,non,2113,1,Championne du monde en titre; n°1 FIFA; Messi + relève
J,Autriche,2,non,1790,24,Qualif solide sous Rangnick; pressing intense
J,Algérie,3,non,1785,28,Génération Mahrez/Amoura; qualif CAF dominée
J,Jordanie,4,non,1565,62,Finaliste Coupe d'Asie 2024; 1ère CDM; en pleine ascension
K,Portugal,1,non,1976,5,Génération dorée (Ronaldo en fin); qualif solide; profondeur immense
K,Colombie,2,non,1998,13,Excellente Elo; finaliste Copa América 2024; James + génération
K,Ouzbékistan,3,non,1635,57,1ère qualification historique; jeune équipe en progrès
K,RD Congo,4,non,1690,57,Demi-finaliste CAN 2025; qualif CAF via barrage; talent offensif
L,Angleterre,1,non,2042,4,Finaliste Euro 2024; qualif parfaite sous Tuchel; effectif élite
L,Croatie,2,non,1933,11,Génération Modric en fin; toujours redoutable en tournoi
L,Panama,3,non,1640,70,Qualifié CONCACAF; combatif; finaliste Gold Cup 2023
L,Ghana,4,non,1695,70,Qualif CAF solide; Black Stars en reconstruction; talent offensif
